certification_id,name,description,website
1,Global Organic Textile Standard,"GOTS ensures the organic status of textiles, from harvesting raw materials to environmentally and socially responsible manufacturing. It guarantees the use of organic fibers and sets strict criteria for processing and labor conditions.",https://www.global-standard.org/
2,Fairtrade,"Fairtrade certification focuses on fair wages, ethical treatment of workers, and community development. It empowers producers, promotes sustainability, and ensures consumers that their purchases contribute to positive social change.",https://www.fairtrade.net/
3,OEKO-TEX Standard 100,OEKO-TEX Standard 100 certifies that textiles are free from harmful substances. It provides confidence that products have been tested for substances that pose health risks and emphasizes consumer safety.,https://www.oeko-tex.com/
4,Bluesign,"Bluesign focuses on the environmental impact of textile production. It examines the entire manufacturing process, ensuring resource efficiency, worker safety, and reduced environmental impact.",https://www.bluesign.com/
5,Cradle to Cradle (C2C),"Cradle to Cradle (C2C) assesses products for environmental and social performance throughout their life cycle. It encourages continuous improvement, innovation, and the creation of products that can be safely returned to nature or industry.",https://www.c2ccertified.org/
6,B Corp Certification,"B Corp Certification signifies high standards of social and environmental performance. B Corps are businesses that balance purpose and profit, meeting rigorous criteria for accountability, transparency, and positive impact.",https://bcorporation.net/
7,PETA Approved Vegan,PETA Approved Vegan certifies that products contain no animal-derived materials. It assures consumers that their choices align with ethical and cruelty-free practices.,https://www.peta.org/
8,Carbon Trust Standard,"Carbon Trust Standard recognizes organizations committed to reducing their carbon footprint. It provides a credible and transparent certification, demonstrating a commitment to sustainability and carbon reduction.",https://www.carbontrust.com/
9,Better Cotton Initiative,BCI promotes better standards in cotton farming with a focus on environmental and social sustainability.,https://bettercotton.org/
10,Forest Stewardship Council (FSC),"FSC identifies responsibly sourced forest products, and can be applied to fabrics, clothing, footwear, packaging and tags made from FSC-certified materials.",https://fsc.org/en/
11,Climate Neutral,"Focuses on reducing and offsetting carbon emissions associated with clothing production, ensuring that your fashion choices contribute to a carbon-neutral industry. Look for the Climate Neutral logo to support brands actively addressing climate change.",https://www.climateneutral.org/
12,SA8000 Standard,"Audits and certifies clothing brands for adherence to international labor standards, focusing on ethical treatment of workers, fair wages, and safe working conditions throughout the clothing supply chain",https://sa-intl.org/programs/sa8000/
13,Responsible Wool Standard (RWS),"RWS ensures responsible practices in the production of wool, covering animal welfare, land management, and the welfare of workers.",https://rws.verified.org/
